discount_price,name,original_price,stock
89990.0,"Tecno POVA Neo (LE6) 6.8 HD+, 4GB RAM + 64GB ROM, 6000mAh Battery, 18W Charge, 13MP + 8MP Camera, Android 11, 4G LTE - Blue",120000.0,Add to cart
66990.0,"Infinix Smart 6 4G (X6511B) 6.6 HD+, 2GB RAM + 32GB ROM, 5000mAh",70000.0,Add to cart
62900.0,"Nokia C10, 6.5Inch 32GB/1GB Ram, Android 11, (5MP ) - Light Purple",70000.0,Add to cart
204000.0,"XIAOMI Redmi Note 11 Pro -6.67 (6GB RAM, 128GB ROM) - Gray",250000.0,Add to cart
44990.0,"Tecno POP 5 Go (BD1) 5.71 HD+, 1GB RAM + 16GB ROM, 4000mAh, Wireless FM, 5MP +5MP Camera, Fingerprint &amp; Face ID - Blue +CASE",55000.0,Add to cart
47990.0,"Tecno POP 2F (B1G) 5.5 Android 8.1, 16GB ROM + 1GB RAM, 8+5MP, Fingerprint, Face ID, 2400mAh Battery - Black +Free 32GB Card",49900.0,Add to cart
85900.0,UMIDIGI A11S 4GB RAM 32GB ROM 5150mAh (16MP+8MP+5MP)+8MP Android 11 AI Face Unlock 6.53 Global Version Dual 4G Lte-Frost Grey,129999.0,Add to cart
90000.0,"Nokia C30, 6.82 HD+ 3GB RAM + 64GB ROM Android 11 (13MP + 2MP ) + 5PM 4G Dual SIM - Green",96000.0,Add to cart
43990.0,"Tecno POP 2F (B1C) 5.5 Android 8.1, 16GB ROM + 1GB RAM, 8+5MP",50000.0,Add to cart
629999.0,"XIAOMI 12 Pro - 6.73 (12GB RAM, 256GB ROM) Android 12 (50/50/50)MP + 32MP Selfie - Snapdragon 5G - Dual - 4600mAh - Purple",892999.0,Add to cart
280000.0,Samsung Galaxy Note 10 Plus 12GB RAM 256GB Single SIM  Aura White,298000.0,Add to cart
42990.0,"itel P17 5.5 Screen, 1GB RAM +16GB ROM, 4000mAh, Android11 -Blue",50000.0,Add to cart
